"Order ID","Year","Order Date","Ship Date","shipment days","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables","1,706","9","0.2","85"
"CA-2011-115812","2011","6/9/2011","6/14/2011","5","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone - Charcoal black","911","4","0.2","68"
"CA-2014-114412","2014","4/16/2014","4/21/2014","5","Standard Class","AA-10480","Andrew Allen","Consumer","United States","Concord","North Carolina","28027","South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967","16","3","0.2","5"
"CA-2013-161389","2013","12/6/2013","12/11/2013","5","Standard Class","IM-15070","Irene Maddox","Consumer","United States","Seattle","Washington","98103","West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine","408","3","0.2","133"
"US-2012-118983","2012","11/22/2012","11/26/2012","4","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","69","5","0.8","-124"
"US-2012-118983","2012","11/22/2012","11/26/2012","4","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders","3","3","0.8","-4"
"CA-2011-105893","2011","11/11/2011","11/18/2011","7","Standard Class","PK-19075","Pete Kriz","Consumer","United States","Madison","Wisconsin","53711","Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","666","6","0","13"
"CA-2011-167164","2011","5/13/2011","5/15/2011","2","Second Class","AG-10270","Alejandro Grove","Consumer","United States","West Jordan","Utah","84084","West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer","56","2","0","10"
"CA-2011-143336","2011","8/27/2011","9/1/2011","5","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","OFF-AR-10003056","Office Supplies","Art","Newell 341","9","2","0","2"
"CA-2011-143336","2011","8/27/2011","9/1/2011","5","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone","213","3","0.2","16"
"CA-2011-143336","2011","8/27/2011","9/1/2011","5","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""","23","4","0.2","7"
"CA-2013-137330","2013","12/10/2013","12/14/2013","4","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska","68025","Central","OFF-AR-10000246","Office Supplies","Art","Newell 318","19","7","0","5"
"CA-2013-137330","2013","12/10/2013","12/14/2013","4","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska","68025","Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length","60","7","0","16"
"US-2014-156909","2014","7/17/2014","7/19/2014","2","Second Class","SF-20065","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray","71","2","0.3","-1"
"CA-2012-106320","2012","9/25/2012","9/30/2012","5","Standard Class","EB-13870","Emily Burns","Consumer","United States","Orem","Utah","84057","West","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","1,045","3","0","240"
"CA-2013-121755","2013","1/16/2013","1/20/2013","4","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California","90049","West","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders","12","2","0.2","4"
"CA-2013-121755","2013","1/16/2013","1/20/2013","4","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California","90049","West","TEC-AC-10003027","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","91","3","0","12"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","3,083","7","0.5","-1,665"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems","10","2","0.7","-7"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","124","3","0.2","16"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes","3","2","0.2","1"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","86","6","0.2","10"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","7","6","0.7","-6"
"US-2012-150630","2012","9/17/2012","9/21/2012","4","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons","16","2","0.2","4"
"CA-2014-107727","2014","10/20/2014","10/24/2014","4","Second Class","MA-17560","Matt Abelman","Home Office","United States","Houston","Texas","77095","Central","OFF-PA-10000249","Office Supplies","Paper","Staples","29","3","0.2","10"
"CA-2013-117590","2013","12/9/2013","12/11/2013","2","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","TEC-PH-10004977","Technology","Phones","GE 30524EE4","1,098","7","0.2","123"
"CA-2013-117590","2013","12/9/2013","12/11/2013","2","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black","191","5","0.6","-148"
"CA-2012-117415","2012","12/27/2012","12/31/2012","4","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","113","9","0.2","35"
"CA-2012-117415","2012","12/27/2012","12/31/2012","4","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","532","3","0.32","-47"
"CA-2012-117415","2012","12/27/2012","12/31/2012","4","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray","212","3","0.3","-15"
"CA-2012-117415","2012","12/27/2012","12/31/2012","4","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter","371","4","0.2","42"
"CA-2014-120999","2014","9/11/2014","9/16/2014","5","Standard Class","LC-16930","Linda Cazamias","Corporate","United States","Naperville","Illinois","60540","Central","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550","147","4","0.2","17"
"CA-2013-101343","2013","7/18/2013","7/23/2013","5","Standard Class","RA-19885","Ruben Ausman","Corporate","United States","Los Angeles","California","90049","West","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum","78","2","0","4"
"CA-2014-139619","2014","9/20/2014","9/24/2014","4","Standard Class","ES-14080","Erin Smith","Corporate","United States","Melbourne","Florida","32935","South","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","96","2","0.2","10"
"CA-2013-118255","2013","3/12/2013","3/14/2013","2","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota","55122","Central","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","46","2","0","20"
"CA-2013-118255","2013","3/12/2013","3/14/2013","2","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota","55122","Central","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings","17","2","0","8"
"CA-2011-146703","2011","10/20/2011","10/25/2011","5","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Westland","Michigan","48185","Central","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","212","4","0","8"
"CA-2013-169194","2013","6/21/2013","6/26/2013","5","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware","19901","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","45","3","0","5"
"CA-2013-169194","2013","6/21/2013","6/26/2013","5","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware","19901","East","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","22","2","0","6"
"CA-2012-115742","2012","4/18/2012","4/22/2012","4","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","38","6","0","18"
"CA-2012-115742","2012","4/18/2012","4/22/2012","4","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","OFF-LA-10002762","Office Supplies","Labels","Avery 485","75","6","0","35"
"CA-2012-115742","2012","4/18/2012","4/22/2012","4","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs","6","2","0","3"
"CA-2012-115742","2012","4/18/2012","4/22/2012","4","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black","90","1","0","17"
"CA-2013-105816","2013","12/12/2013","12/18/2013","6","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York","10024","East","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins","15","7","0","6"
"CA-2013-105816","2013","12/12/2013","12/18/2013","6","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York","10024","East","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone","1,030","5","0","299"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts","209","6","0","52"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-PA-10001569","Office Supplies","Paper","Xerox 232","32","5","0","16"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair","319","5","0.1","7"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper, Assorted Colors","15","2","0","7"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","30","2","0","3"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs","48","4","0.2","16"
"CA-2013-111682","2013","6/18/2013","6/19/2013","1","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks","2","1","0","1"
"CA-2012-135545","2012","11/24/2012","11/30/2012","6","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","14","2","0","6"
"CA-2012-135545","2012","11/24/2012","11/30/2012","6","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","26","6","0.2","9"
"CA-2012-135545","2012","11/24/2012","11/30/2012","6","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943","147","3","0","69"
"CA-2012-135545","2012","11/24/2012","11/30/2012","6","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp","80","4","0","22"
"US-2012-164175","2012","4/30/2012","5/5/2012","5","Standard Class","PS-18970","Paul Stevenson","Home Office","United States","Chicago","Illinois","60610","Central","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Manager's Chair, Gray","213","5","0.3","-15"
"CA-2011-106376","2011","12/5/2011","12/10/2011","5","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona","85234","West","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","1,113","8","0.2","111"
"CA-2011-106376","2011","12/5/2011","12/10/2011","5","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona","85234","West","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service","168","4","0.2","63"
"CA-2013-119823","2013","6/5/2013","6/7/2013","2","First Class","KD-16270","Karen Daniels","Consumer","United States","Springfield","Virginia","22153","South","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","76","2","0","36"
"CA-2013-106075","2013","9/19/2013","9/24/2013","5","Standard Class","HM-14980","Henry MacAllister","Consumer","United States","New York City","New York","10009","East","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets","5","1","0.2","2"
"CA-2014-114440","2014","9/15/2014","9/18/2014","3","Second Class","TB-21520","Tracy Blumstein","Consumer","United States","Jackson","Michigan","49201","Central","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","19","3","0","9"
"US-2012-134026","2012","4/26/2012","5/2/2012","6","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair","832","8","0.2","-114"
"US-2012-134026","2012","4/26/2012","5/2/2012","6","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","97","2","0.2","1"
"US-2012-134026","2012","4/26/2012","5/2/2012","6","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System","73","1","0.2","-18"
"US-2014-118038","2014","12/10/2014","12/12/2014","2","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders","1","3","0.8","-2"
"US-2014-118038","2014","12/10/2014","12/12/2014","2","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","FUR-FU-10000260","Furniture","Furnishings","6"" Cubicle Wall Clock, Black","10","3","0.6","-6"
"US-2014-118038","2014","12/10/2014","12/12/2014","2","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","27","3","0.2","3"
"US-2011-147606","2011","11/26/2011","12/1/2011","5","Second Class","JE-15745","Joel Eaton","Consumer","United States","Houston","Texas","77070","Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","19","5","0.6","-14"
"CA-2013-127208","2013","6/13/2013","6/16/2013","3","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama","35601","South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","208","1","0","56"
"CA-2013-127208","2013","6/13/2013","6/16/2013","3","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama","35601","South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings","17","3","0","8"
"CA-2011-139451","2011","10/12/2011","10/16/2011","4","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California","94122","West","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","15","5","0","4"
"CA-2011-139451","2011","10/12/2011","10/16/2011","4","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California","94122","West","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black","21","1","0","6"
"CA-2012-149734","2012","9/3/2012","9/8/2012","5","Standard Class","JC-16105","Julie Creighton","Corporate","United States","Durham","North Carolina","27707","South","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers","201","7","0.2","63"
"US-2014-119662","2014","11/14/2014","11/17/2014","3","First Class","CS-12400","Christopher Schild","Home Office","United States","Chicago","Illinois","60623","Central","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving","230","3","0.2","-49"
"CA-2014-140088","2014","5/29/2014","5/31/2014","2","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina","29203","South","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair","302","2","0","33"
"CA-2014-155558","2014","10/27/2014","11/3/2014","7","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","55901","Central","TEC-AC-10001998","Technology","Accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","20","1","0","7"
"CA-2014-155558","2014","10/27/2014","11/3/2014","7","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","55901","Central","OFF-LA-10000134","Office Supplies","Labels","Avery 511","6","2","0","3"
"CA-2013-159695","2013","4/6/2013","4/11/2013","5","Second Class","GM-14455","Gary Mitchum","Home Office","United States","Houston","Texas","77095","Central","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager","158","7","0.2","14"
"CA-2013-109806","2013","9/18/2013","9/23/2013","5","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip","20","3","0","7"
"CA-2013-109806","2013","9/18/2013","9/23/2013","5","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550","74","2","0.2","8"
"CA-2013-109806","2013","9/18/2013","9/23/2013","5","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995","6","1","0","3"
"CA-2012-149587","2012","1/31/2012","2/5/2012","5","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999","13","2","0","6"
"CA-2012-149587","2012","1/31/2012","2/5/2012","5","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2"" Wall Clock","53","3","0","17"
"CA-2012-149587","2012","1/31/2012","2/5/2012","5","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers","33","2","0","16"
"US-2014-109484","2014","11/7/2014","11/13/2014","6","Standard Class","RB-19705","Roger Barcio","Home Office","United States","Portland","Oregon","97206","West","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder","6","1","0.7","-4"
"CA-2014-161018","2014","11/10/2014","11/12/2014","2","Second Class","PN-18775","Parhena Norris","Home Office","United States","New York City","New York","10009","East","FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock","97","7","0","41"
"CA-2014-157833","2014","6/18/2014","6/21/2014","3","First Class","KD-16345","Katherine Ducich","Consumer","United States","San Francisco","California","94122","West","OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders","51","3","0.2","18"
"CA-2013-149223","2013","9/7/2013","9/12/2013","5","Standard Class","ER-13855","Elpida Rittenbach","Corporate","United States","Saint Paul","Minnesota","55106","Central","OFF-AP-10000358","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors","78","6","0","23"
"CA-2013-158568","2013","8/30/2013","9/3/2013","4","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","OFF-PA-10003256","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards","65","7","0.2","23"
"CA-2013-158568","2013","8/30/2013","9/3/2013","4","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","TEC-AC-10001767","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","96","3","0.2","-11"
"CA-2013-158568","2013","8/30/2013","9/3/2013","4","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems","2","3","0.8","-3"
"CA-2013-129903","2013","12/2/2013","12/5/2013","3","Second Class","GZ-14470","Gary Zandusky","Consumer","United States","Rochester","Minnesota","55901","Central","OFF-PA-10004040","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","24","4","0","12"
"US-2012-156867","2012","11/13/2012","11/17/2012","4","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","TEC-AC-10001552","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard","239","6","0.2","-27"
"US-2012-156867","2012","11/13/2012","11/17/2012","4","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","FUR-FU-10004006","Furniture","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","102","3","0.2","-4"
"US-2012-156867","2012","11/13/2012","11/17/2012","4","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","37","3","0.7","-26"
"CA-2014-119004","2014","11/24/2014","11/29/2014","5","Standard Class","JM-15250","Janet Martin","Consumer","United States","Charlotte","North Carolina","28205","South","TEC-AC-10003499","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","74","8","0.2","18"
"CA-2014-119004","2014","11/24/2014","11/29/2014","5","Standard Class","JM-15250","Janet Martin","Consumer","United States","Charlotte","North Carolina","28205","South","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case","28","1","0.2","2"
